block_number,tick,liquidityGross,liquidityNet,feeGrowthOutside0X128,feeGrowthOutside1X128,tickCumulativeOutside,secondsPerLiquidityOutsideX128,secondsOutside,initialized
16577835,-877800,0,0,0,0,0,0,0,False
16577835,-877740,0,0,0,0,0,0,0,False
16577835,-877680,0,0,0,0,0,0,0,False
16577835,-877620,0,0,0,0,0,0,0,False
16577835,-877560,0,0,0,0,0,0,0,False
16577835,-877500,0,0,0,0,0,0,0,False
16577835,-877440,0,0,0,0,0,0,0,False
16577835,-877380,0,0,0,0,0,0,0,False
16577835,-877320,0,0,0,0,0,0,0,False
16577835,-877260,0,0,0,0,0,0,0,False
16577835,-877200,0,0,0,0,0,0,0,False
16577835,-877140,0,0,0,0,0,0,0,False
16577835,-877080,0,0,0,0,0,0,0,False
16577835,-877020,0,0,0,0,0,0,0,False
16577835,-876960,0,0,0,0,0,0,0,False
16577835,-876900,0,0,0,0,0,0,0,False
16577835,-876840,0,0,0,0,0,0,0,False
16577835,-876780,0,0,0,0,0,0,0,False
16577835,-876720,0,0,0,0,0,0,0,False
16577835,-876660,0,0,0,0,0,0,0,False
16577835,-876600,0,0,0,0,0,0,0,False
16577835,-876540,0,0,0,0,0,0,0,False
16577835,-876480,0,0,0,0,0,0,0,False
16577835,-876420,0,0,0,0,0,0,0,False
16577835,-876360,0,0,0,0,0,0,0,False
16577835,-876300,0,0,0,0,0,0,0,False
16577835,-876240,0,0,0,0,0,0,0,False
16577835,-876180,0,0,0,0,0,0,0,False
16577835,-876120,0,0,0,0,0,0,0,False
16577835,-876060,0,0,0,0,0,0,0,False
16577835,-876000,0,0,0,0,0,0,0,False
16577835,-875940,0,0,0,0,0,0,0,False
16577835,-875880,0,0,0,0,0,0,0,False
16577835,-875820,0,0,0,0,0,0,0,False
16577835,-875760,0,0,0,0,0,0,0,False
16577835,-875700,0,0,0,0,0,0,0,False
16577835,-875640,0,0,0,0,0,0,0,False
16577835,-875580,0,0,0,0,0,0,0,False
16577835,-875520,0,0,0,0,0,0,0,False
16577835,-875460,0,0,0,0,0,0,0,False
16577835,-875400,0,0,0,0,0,0,0,False
16577835,-875340,0,0,0,0,0,0,0,False
16577835,-875280,0,0,0,0,0,0,0,False
16577835,-875220,0,0,0,0,0,0,0,False
16577835,-875160,0,0,0,0,0,0,0,False
16577835,-875100,0,0,0,0,0,0,0,False
16577835,-875040,0,0,0,0,0,0,0,False
16577835,-874980,0,0,0,0,0,0,0,False
16577835,-874920,0,0,0,0,0,0,0,False
16577835,-874860,0,0,0,0,0,0,0,False
16577835,-874800,0,0,0,0,0,0,0,False
16577835,-874740,0,0,0,0,0,0,0,False
16577835,-874680,0,0,0,0,0,0,0,False
16577835,-874620,0,0,0,0,0,0,0,False
16577835,-874560,0,0,0,0,0,0,0,False
16577835,-874500,0,0,0,0,0,0,0,False
16577835,-874440,0,0,0,0,0,0,0,False
16577835,-874380,0,0,0,0,0,0,0,False
16577835,-874320,0,0,0,0,0,0,0,False
16577835,-874260,0,0,0,0,0,0,0,False
16577835,-874200,0,0,0,0,0,0,0,False
16577835,-874140,0,0,0,0,0,0,0,False
16577835,-874080,0,0,0,0,0,0,0,False
16577835,-874020,0,0,0,0,0,0,0,False
16577835,-873960,0,0,0,0,0,0,0,False
16577835,-873900,0,0,0,0,0,0,0,False
16577835,-873840,0,0,0,0,0,0,0,False
16577835,-873780,0,0,0,0,0,0,0,False
16577835,-873720,0,0,0,0,0,0,0,False
16577835,-873660,0,0,0,0,0,0,0,False
16577835,-873600,0,0,0,0,0,0,0,False
16577835,-873540,0,0,0,0,0,0,0,False
16577835,-873480,0,0,0,0,0,0,0,False
16577835,-873420,0,0,0,0,0,0,0,False
16577835,-873360,0,0,0,0,0,0,0,False
16577835,-873300,0,0,0,0,0,0,0,False
16577835,-873240,0,0,0,0,0,0,0,False
16577835,-873180,0,0,0,0,0,0,0,False
16577835,-873120,0,0,0,0,0,0,0,False
16577835,-873060,0,0,0,0,0,0,0,False
16577835,-873000,0,0,0,0,0,0,0,False
16577835,-872940,0,0,0,0,0,0,0,False
16577835,-872880,0,0,0,0,0,0,0,False
16577835,-872820,0,0,0,0,0,0,0,False
16577835,-872760,0,0,0,0,0,0,0,False
16577835,-872700,0,0,0,0,0,0,0,False
16577835,-872640,0,0,0,0,0,0,0,False
16577835,-872580,0,0,0,0,0,0,0,False
16577835,-872520,0,0,0,0,0,0,0,False
16577835,-872460,0,0,0,0,0,0,0,False
16577835,-872400,0,0,0,0,0,0,0,False
16577835,-872340,0,0,0,0,0,0,0,False
16577835,-872280,0,0,0,0,0,0,0,False
16577835,-872220,0,0,0,0,0,0,0,False
16577835,-872160,0,0,0,0,0,0,0,False
16577835,-872100,0,0,0,0,0,0,0,False
16577835,-872040,0,0,0,0,0,0,0,False
16577835,-871980,0,0,0,0,0,0,0,False
16577835,-871920,0,0,0,0,0,0,0,False
