block_number,sqrt_price_x96
12766659,1658560104636901869172687262352298
12769059,1681342316126054014248145788830715
12771459,1676636085892406939794985867666924
12773859,1646537138737515512609972386000000
12776259,1652962186353596562221064063735527
12778659,1623671770868401027523728963376082
12781059,1633427917698332459046851791919031
12783459,1644671729083484741931563740685622
12785859,1698319731195066299827440643180916
12788259,1707077538713418802754295661238172
12790659,1724006305802817669760506792862316
12793059,1741963934073561826665806299692399
12795459,1715079391616361160589754972150007
12797859,1721747731006877090130429390561832
12800259,1725439542395021601935730615866778
12802659,1721672938771155990757404701298928
12805059,1723862886977399214021895914924151
12807459,1711615349963776001760772667588163
12809859,1709704982826644301236950760270977
12812259,1726219605561540199724427274100976
12814659,1761298804755237176944778678750508
12817059,1778624077549850423940427734484306
12819459,1782896374525196486088707067876365
12821859,1797439112496195879797838806065792
12824259,1808104722562521583238719070859117
12826659,1771974061128157932279225442020314
12829059,1778127087683744571202204492703068
12831459,1810502215960190499563340944464990
12833859,1805804549414127925371635091103299
12836259,1806791657790568587291309871463973
12838659,1813731899323648481061324118937963
12841059,1831797876491593927697690310000000
12843459,1821177444793637396984600547523808
12845859,1813462033825194981779452345190352
12848259,1783151718380482921085000098804020
12850659,1788667229364433408808841224985590
12853059,1818746482683073979524443947622071
12855459,1816178380850950789059688827520488
12857859,1857475092827372886740629105726129
12860259,1852097807052368839509676508436247
12862659,1899879191614325557870553052000000
12865059,1872752235499608002913798880336367
12867459,1867389940773977197375177371119337
12869859,1813855114799199821537505501165058
12872259,1791052694739485676739549003224632
12874659,1778820945054348427161955694014807
12877059,1766916671356881920407431606331635
12879459,1760919861065748730123085224478257
12881859,1746774591850409178635192658265276
12884259,1762226944233270325116672643001538
12886659,1721649616657131333235741921033838
12889059,1707869321364149908029500606856043
12891459,1710260526620923236807755221429411
12893859,1701541848534344904624479237914491
12896259,1719158823115478646032310770368714
12898659,1676198675843654909492382665460107
12901059,1636202788478399176364398584823186
12903459,1625863901125590797470216819414181
12905859,1695621207268740071953939220737922
12908259,1652960214842617432005355230710156
12910659,1667679914958069606873507721306223
12913059,1661437692203474075660364954148129
12915459,1647528119166804364626340204073555
12917859,1660298752678472001541687342620809
12920259,1646571399860018435297805205050011
12922659,1647008335572390178183156295790538
12925059,1610995209449796073644832136179766
12927459,1634985914496539780203766682911571
12929859,1603317934562047464988065245491284
12932259,1598460551363428101077902976534792
12934659,1602697361417521568881025308929707
12937059,1559789321176095188068879317672198
12939459,1558827984006951511819450885731364
12941859,1533346566081075860320105512519928
12944259,1565905131998792012837895819399720
12946659,1545680178927892772478941876086116
12949059,1553567275934723771467816018168627
12951459,1590435000973833765894321344265930
12953859,1595872464338517385915351563064834
12956259,1583629516149956534722225031830190
12958659,1577962207784682405666325452193956
12961059,1521468071876179815770083590634118
12963459,1530031673806073789699605038368282
12965859,1509401084342810897048918733211580
12968259,1492987270568517450013970599711852
12970659,1506889799520186857074382072769712
12973059,1467693669472346660805764840986950
12975459,1467568623936354801273598548909685
12977859,1415013477432396490990617536098745
12980259,1427833916521089735444114969731058
12982659,1416186639613712291584040008902940
12985059,1436423392311784511775243367113747
12987459,1434613633934373155487460776294013
12989859,1460273455787524116953836802193084
12992259,1409605151968286836195574237985333
12994659,1417200436550821738557074967018294
12997059,1415284413484052846708478274617264
12999459,1414530209496445789844220947012382
13001859,1406835256806491921928303494585794
13004259,1391437280437398120832334259251365
13006659,1409527879932396183879091878813924
13009059,1414932474231358788258057578574206
13011459,1449929515380029242705101180543380
13013859,1424598716366498482925966715759770
13016259,1389470728418858619882317585000000
13018659,1394872101369420317926715824132659
13021059,1380641833747981130307351836328543
13023459,1395969755447905308614110901284834
13025859,1387858434677056259422123040703139
13028259,1394816391257565203561989043130730
13030659,1411312590068934147357314945303098
13033059,1375585785872778418567347753000000
13035459,1385683334907277881680734359355530
13037859,1394157895914008723675281025369337
13040259,1403775287661653290407000301784286
13042659,1383897750260466080424722181943802
13045059,1430274478202837755228376160117490
13047459,1429138385849467435144385510425268
13049859,1430373286647967793798017301608946
13052259,1437322083529448918450881042144377
13054659,1445814341280084039242380940152088
13057059,1436058594474959897021397690587741
13059459,1393479599975199022334154868461517
13061859,1397861816975645948348574750794356
13064259,1386754148071545352639644508894522
13066659,1384992837124894426426951860961217
13069059,1382630725092247793822515202797802
13071459,1388828727676011197253150751451751
13073859,1386646504772641068421343959508436
13076259,1403658995013149337136625345441972
13078659,1386997575655453952263428987532725
13081059,1372480476757375127576955902439686
13083459,1376341182392025550309369045889205
13085859,1372327804313673596085286353141028
13088259,1378157370262785013589962439129693
13090659,1402125967721541710741846604074570
13093059,1399540727001460312023334658339590
13095459,1397876609447006086560331113951584
13097859,1392185551784290950331946871553495
13100259,1424243295932804696114643595689081
13102659,1421350029675850433271493660154475
13105059,1425223898837388365535618186172567
13107459,1410484287096662088615131816640604
13109859,1383401914224534994369494857777579
13112259,1390749935601816926603269980052133
